time;hr
1507758420;66
1507758540;73
1507758660;72
1507758780;72
1507758900;71
1507759140;78
1507759260;78
1507759380;68
1507759620;73
1507759740;79
1507765800;71
1507765920;75
1507766040;66
1507766160;68
1507766280;75
1507766400;56
1507766520;81
1507766640;63
1507766760;72
1507766880;75
1507767000;64
1507767120;68
1507767240;69
1507767360;68
1507767480;74
1507767600;69
1507767720;66
1507767840;69
1507767960;68
1507768080;74
1507768200;72
1507768320;67
1507768440;72
1507768560;67
1507768680;68
1507768800;64
1507768920;61
1507769040;69
1507769160;68
1507769280;87
1507769760;68
1507769880;66
1507770000;64
1507770120;65
1507770240;51
1507770360;66
1507770480;66
1507770600;53
1507770960;78
1507771080;75
1507771200;79
1507771320;72
1507771440;71
1507771560;68
1507771680;69
1507771920;68
1507772040;67
1507772160;66
1507772400;67
1507772520;68
1507772640;63
1507772760;69
1507772880;68
1507773000;69
1507773240;66
1507773360;89
1507773480;54
1507773600;62
1507773840;69
1507773960;68
1507774080;67
1507774200;69
1507774320;71
1507774440;91
1507774560;76
1507774680;67
1507774800;92
1507774920;63
1507775040;72
1507775160;69
1507775280;73
1507775400;88
1507775640;74
1507775880;75
1507776000;65
1507776120;67
1507776240;72
1507776360;62
1507776480;67
1507776600;68
1507776840;65
1507776960;63
1507777080;68
1507777200;61
1507777320;58
1507777440;79
1507777560;64
1507777680;61
1507777800;62
1507777920;61
1507778040;65
1507778160;69
1507778280;65
1507778400;71
1507778520;63
1507778640;64
1507778760;49
1507778880;61
1507779000;61
1507779120;63
1507779240;66
1507779360;66
1507779480;69
1507779600;73
1507779720;54
1507779840;65
1507779960;66
1507780080;56
1507780200;58
1507780440;67
1507780680;62
1507780920;75
1507781040;68
1507781160;66
1507781280;72
1507781520;66
1507781880;62
1507782000;59
1507782120;92
1507782480;63
1507782600;75
1507782720;53
1507782840;68
1507782960;68
1507783200;63
1507783320;66
1507783440;47
1507783560;69
1507783800;68
1507784040;45
1507784160;73
1507784280;57
1507784400;68
1507784520;73
1507784640;56
1507784880;56
1507785000;56
1507785120;55
1507785240;56
1507785360;54
1507785480;52
1507785600;53
1507785720;57
1507785840;52
1507785960;49
1507786080;51
1507786200;56
1507786320;48
1507786440;46
1507786560;51
1507786680;58
1507786800;57
1507786920;45
1507787040;57
1507787160;48
1507787400;44
1507787520;54
1507787760;57
1507787880;52
1507788000;75
1507788120;61
1507788240;46
1507788360;62
1507788480;69
1507788600;58
1507788720;62
1507788840;47
1507788960;54
1507789080;55
1507789200;51
1507789320;52
1507789440;53
1507789560;55
1507789800;56
1507789920;53
1507790160;67
1507791300;66
1507791420;72
1507791540;58
1507791660;56
1507791780;44
1507791900;63
1507792020;64
1507792140;69
1507792260;99
1507835280;72
1507835400;68
1507835520;61
1507835640;55
1507835760;89
1507848660;67
1507848900;56
1507849020;63
1507849140;51
1507849260;54
1507849500;68
1507849620;55
1507849740;52
1507853220;69
1507853340;52
1507853460;56
1507853580;54
1507853700;53
1507853820;72
1507853940;54
1507854060;63
1507854180;67
1507854300;54
1507854420;52
1507854540;57
1507854660;54
1507854780;56
1507854900;57
1507855020;52
1507855140;53
1507855260;63
1507857240;68
1507857360;49
1507857480;61
1507857600;75
1507857720;47
1507857840;54
1507858080;57
1507858200;55
1507858320;68
1507858440;68
1507858560;48
1507858920;46
1507859040;48
1507859160;46
1507859280;51
1507859400;57
1507859520;47
1507859760;54
1507859880;52
1507860000;58
1507860120;56
1507860240;51
1507860360;52
1507860480;68
1507860600;45
1507860720;52
1507860840;44
1507860960;48
1507861080;53
1507861200;47
1507861320;47
1507861440;47
1507861560;46
1507861680;49
1507861920;52
1507862040;56
1507862160;48
1507862280;48
1507862400;48
1507862520;44
1507862640;53
1507862760;59
1507862880;47
1507863000;48
1507863240;48
1507863360;63
1507863480;63
1507863600;41
1507863720;54
1507863840;68
1507863960;68
1507864080;54
1507864440;42
1507864560;46
1507864680;44
1507864800;75
1507864920;54
1507865040;43
1507865160;73
1507865280;43
1507865400;42
1507865520;56
1507865640;53
1507865760;45
1507865880;51
1507866120;57
1507866360;56
1507866480;45
1507866600;42
1507866720;46
1507866840;43
1507866960;44
1507867080;47
1507867200;46
1507867320;46
1507867440;45
1507867560;44
1507867680;46
1507867800;46
1507867920;44
1507868040;66
1507868160;41
1507868280;46
1507868400;44
1507868520;46
1507868640;44
1507868760;43
1507868880;81
1507869000;47
1507869120;45
1507869840;71
1507870080;47
1507870200;78
1507870320;66
1507870440;47
1507870560;49
1507870800;46
1507870920;54
1507871040;67
1507871160;87
1507871400;43
1507871520;45
1507871640;45
1507871760;46
1507871880;52
1507872000;63
1507872120;51
1507872240;43
1507872360;54
1507872480;52
1507872600;53
1507872720;81
1507872840;45
1507879095;84
1507879373;103
1507920900;57
1507921020;73
1507921140;73
1507921260;65
1507921500;66
1507921620;68
1507943700;83
1507943820;62
1507943940;72
1507944060;82
1507944180;57
1507950540;57
1507950660;62
1507950780;65
1507950900;58
1507951020;63
1507951140;63
1507951380;65
1507951620;57
1507951860;51
1507951980;56
1507952100;44
1507952220;51
1507952340;56
1507958340;57
1507958460;44
1507958580;56
1507958700;43
1507958820;84
1507958940;47
1507959060;46
1507959180;76
1507959300;45
1507959420;68
1507959540;49
1507959660;54
1507959780;44
1507959900;46
1507960020;71
1507960140;65
1507960260;68
1507960380;56
1507960500;49
1507960620;51
1507960860;55
1507960980;58
1507961100;58
1507961220;57
1507961340;54
1507961460;53
1507961700;49
1507961820;45
1507962060;57
1507962180;48
1507962300;55
1507962540;51
1507962660;54
1507962780;48
1507962900;54
1507963020;47
1507963140;57
1507964220;63
1507964340;47
1507964460;44
1507964580;49
1507964820;49
1507965060;55
1507965180;52
1507965300;57
1507965420;52
1507965540;48
1507965660;55
1507965780;56
1507965900;49
1507966020;54
1507966140;61
1507966260;52
1507966500;83
1507966620;65
1507966740;69
1507966860;48
1507966980;78
1507967100;58
1507967340;46
1507967460;67
1507967580;49
1507967700;67
1507967820;56
1507969500;73
1507969620;59
1507969740;65
1507969860;45
1507969980;49
1507970100;57
1507970220;45
1507970340;67
1507970460;52
1507970580;57
1507970700;54
1507970820;56
1507970940;56
1507971060;57
1507971180;61
1507971300;49
1507971420;51
1507971540;51
1507971660;52
1507971900;57
1507972260;65
1507972380;53
1507972500;53
1507972740;55
1507972860;46
1507972980;51
1507973220;55
1507973340;72
1507973460;55
1507973580;68
1507973700;65
1507973940;58
1507974060;53
1507974180;65
1507974300;75
1507974420;72
1507974540;61
1507974660;72
1507974780;62
1507974900;72
1507993920;66
1507994040;69
1507994160;64
1507994280;68
1507994400;75
1507994520;68
1507994760;79
1507994880;67
1507995000;62
1507995120;64
